Country,Rank,PDS,Permalink,Opportunity ID,"Gift Margin (Mar 2026, USD)",Tag Action
UK,60,Tea - Afternoon,https://groupon.co.uk/deals/harbour-heights-hotel-18691718,006Uj00000JXjUrIAL,822.07,OK
UK,61,Tea - Afternoon,https://groupon.co.uk/deals/red-bus-bistro-3-edinburgh,006Uj00000WzTkDIAV,811.33,OK
UK,62,MRI Scan,https://groupon.co.uk/deals/pall-mall-medical-1-687922,0063c00001LtGDfAAN,807.28,OK
UK,63,Spa - Day Pass,https://groupon.co.uk/deals/the-belstead-brook-hotel-non-accommodation-8,006Hr00001MVmleIAD,806.48,OK
UK,64,Tea - Afternoon,https://groupon.co.uk/deals/the-lowry-hotel-5,006Hr00001MJpx6IAD,799.08,OK
UK,65,Sunday Roast,https://groupon.co.uk/deals/olive-tree-brasserie,0063c00001I08hZAAR,792.4,OK
UK,66,Spa - Day Pass,https://groupon.co.uk/deals/the-nottingham-belfry-4-1,006Uj00000TpLg1IAF,786.47,OK
UK,67,Spa - Day Pass,https://groupon.co.uk/deals/nu-spa-durham-4,0063c00001MyNl1AAF,785.83,OK
UK,68,Tea - Afternoon,https://groupon.co.uk/deals/hardwicke-hall-manor-hotel-9,0063c00001IqmKQAAZ,778.09,OK
UK,69,Tea - Afternoon,https://groupon.co.uk/deals/the-waldorf-hilton-1-8997280,006TU00000KTxpBYAT,776.54,OK
UK,70,Spa - Day Pass,https://groupon.co.uk/deals/bridgewood-manor-nonaccommodation,006Uj000005Hz4FIAS,776.52,OK
UK,71,Hotel - Spa - Culinary,https://groupon.co.uk/deals/ga-brooklands-hotel-2-9,006TU00000Kw1ZiYAJ,770.96,OK
UK,72,Tea - Afternoon,https://groupon.co.uk/deals/studley-castle,006Uj00000RBQhDIAX,770.91,OK
UK,73,Helicopter,https://groupon.co.uk/deals/adventure-001-4-25605830,006Uj00000C4F9fIAF,767.61,OK
UK,74,Spa - Day Pass,https://groupon.co.uk/deals/the-wild-pheasant-hotel-spa-2,006Uj00000WPRvRIAX,763.98,OK
UK,75,Internet Access - High Speed / Dial-up,https://groupon.co.uk/deals/nordvpn-9,006Uj000003TA77IAG,730.7,ADD top-gifts-v2
UK,76,Spa - Day Pass,https://groupon.co.uk/deals/pace-health-club-nu-spa-radisson-blu-manchester-airport,006Uj00000L8w9BIAR,725.14,OK
UK,77,Massage - Deep Tissue,https://groupon.co.uk/deals/osteopathy-physiotherapy-london,0063c00001Hz8XXAAZ,716.45,OK
UK,78,Tea - Afternoon,https://groupon.co.uk/deals/am-pm-bohemian-restaurant-47,006Uj00000CggNJIAZ,713.5,OK
UK,79,Tea - Afternoon,https://groupon.co.uk/deals/rossett-hall-hotel-non-accommodation,006TU00000KJLQDYA5,707.67,OK
UK,80,Tea - Afternoon,https://groupon.co.uk/deals/3sixty-newcastle-afternoontea,006Uj00000JszJhIAJ,694.12,OK
UK,81,Tea - Afternoon,https://groupon.co.uk/deals/littlecote-house-hotel-1,006Uj00000XqCuvIAF,690.08,OK
UK,82,Spa - Day Pass,https://groupon.co.uk/deals/macdonald-cardrona-hotel-golf-spa-2,006Uj00000S7BeYIAV,689.79,OK
UK,83,Spa - Day Pass,https://groupon.co.uk/deals/best-western-the-dartmouth-hotel-golf-spa-non-accommodation-9,0063c00001KdL5KAAV,673.12,OK
UK,84,Head Spa,https://groupon.co.uk/deals/butterfly-beauty-21411762,006Uj00000UqeXyIAJ,664.9,OK
UK,85,Spa - Day Pass,https://groupon.co.uk/deals/hill-valley-golf-and-spa-hotel-3,006Uj00000WZwmhIAD,663.78,OK
UK,86,Head Spa,https://groupon.co.uk/deals/hair-beauty-by-claire-h-2,006Uj00000JRIh4IAH,662.02,OK
